fez,obtem
INF01032,EmpreendimentoEletiva
INF01124,CPDEletiva
INF01112,ARQ2Eletiva
ECO02254,EcnA
INF01001,EsFN
INF01002,PrdC
INF01005,CmdD
INF01006,PdBdD
INF01008,ProgParEletiva
INF01009,CmpG
INF01014,SdBdDD
INF01015,GeAeR
INF01016,GeAdP
INF01017,MLEletiva
INF01018,SODedR
INF01019,PeCG
INF01021,PrdH
INF01022,LdSdS
INF01032; INF01022,ProjInt
INF01032; INF01019,ProjInt
INF01032; INF01006,ProjInt
INF01032; INF01215,ProjInt
INF01023,AeDdBdD
INF01030,FdVC
INF01034,RbtI
INF01037,CmpE
INF01038,SsEN
INF01039,HsdC
INF01043,IHC
INF01045,SegEletiva
INF01046,PIVC
INF01047,CGVis
INF01048,IA
INF01049,IAPeI
INF01050,PLNEletiva
INF01053,ToECPIV
INF01054,ToCICVII
INF01055,ToCICVIII
INF01056,DsdP
INF01058,CD
INF01059,SstE
INF01060,ToCICXVIII
INF01061,ToCICXVII
INF01062,ToCICXVI
INF01063,ToCICXII
INF01064,ToCICXI
INF01065,ToCICX
INF01066,ToCICXXII
INF01067,ToCICXXIII
INF01068,ToCICXXIV
INF01069,ToCICXXIX
INF01070,ToCICXXX
INF01071,ToCICXXXI
INF01072,ToCICXXXII
INF01107,IntroCIC
INF01108,Arq
INF01113,OrgComp
INF01120,TCP
INF01121,MdLdP
INF01127,ES
INF01140,CmeS
INF01142,SisOp
INF01145,BD
INF01146,AvdD
INF01147,LP2
INF01151,SDTF
INF01154,Redes
INF01175,SDpCA
INF01179,ToCICI
INF01182,ToCICII
INF01185,CdCII
INF01188,ToCICIII
INF01191,AAdC
INF01198,ToCICIV
INF01202,ALP
INF01203,ED
INF01205,CpSD
INF01209,FdTAF
INF01213,FtgC
INF01214,TsdS
INF01215,MtdA
INF01215(*),ProjInt
INF01216,MeGdPdN
INF01217,TeEdS
INF01218,ToCICXXXIII
INF01219,ToCICXXXIV
INF01220,ToCICXXXV
INF01221,ToCICXXXVI
INF05001,LdPeL
INF05003,TdCD
INF05004,ML
INF05004,InAA
INF05005,TeoComp1
INF05006,CtCN
INF05008,PC
INF05009,ToCICIX
INF05010,PAA3
INF05011,ToCICXIII
INF05012,ToCICXIV
INF05013,ToCICXV
INF05014,ToCICXIX
INF05015,ToCICXX
INF05016,ToCICXXI
INF05018,BlgC
INF05019,AAeSM
INF05020,ToCICXXV
INF05021,ToCICXXVI
INF05022,ToCICXXVII
INF05023,ToCICXXVIII
INF05024,ProjCI
INF05024,ToECPV
INF05025,ToECPVI
INF05501,TeoComp2
INF05504,ToCICV
INF05505,ToCICVI
INF05508,Logica
INF05508,VerifTeste
INF05512,PAA1
INF05515,PAA2
INF05516,LP1
LET02720,IIpPdDI
MAT01032,CC
MAT01353,Calc1
MAT01354,Calc2
MAT01355,AlgLin
MAT01375,MatDisc
MAT02219,ProbEst
Temp-4,ProjCI
Temp-5,ML
Temp-5,ProgPar
Temp-6,Seg
Temp-6,PLN
Temp-7,ProjInt
VAERE201,VAEREUm
VAERE202,VAEREDois
