cv,carater,etapa,codigo,nome,carga_horaria,creditos,prerequisito
novo,Obrigatória,1,PC,Pensamento Computacional,60,4,NA
novo,Obrigatória,1,ALP,Algorítmos e Programação,90,6,NA
novo,Obrigatória,1,IntroCIC,Introdução à Ciência da Computação,60,4,NA
novo,Obrigatória,1,Calc1,Cálculo e Geometria Analítica I - A,90,6,NA
novo,Obrigatória,1,Logica,Lógica e Correção de Programas,60,4,NA
novo,Obrigatória,2,VerifTeste,Verificação e Teste de Software,30,2,NA
novo,Obrigatória,2,MatDisc,Matemática Discreta,60,4,NA
novo,Obrigatória,2,Arq,Arquitetura de Computadores,60,4,IntroCIC; ALP
novo,Obrigatória,2,ED,Estruturas de Dados,60,4,PC; ALP
novo,Obrigatória,2,ProbEst,Probabilidade e Estatística,60,4,Calc1
novo,Obrigatória,2,Calc2,Cálculo e Geometria Analítica II - A,90,6,Calc1
novo,Obrigatória,3,TeoComp1,Teoria da Computação I - Linguagens Formais e Autômatos,60,4,Logica; MatDisc
novo,Obrigatória,3,CD,Circuitos Digitais,90,6,Arq
novo,Obrigatória,3,PAA1,Projeto e Análise de Algoritmos I,60,4,ED; MatDisc; Calc1
novo,Obrigatória,3,TCP,Desenvolvimento de Software de Qualidade,60,4,ED
novo,Obrigatória,3,BD,Fundamentos de Bancos de Dados,60,4,ED
novo,Obrigatória,4,TeoComp2,Teoria da Computação II - Computabilidade e Complexidade,60,4,TeoComp1
novo,Obrigatória,4,PAA2,Projeto e Análise de Algoritmos II,60,4,PAA1
novo,Obrigatória,4,OrgComp,Organização de Computadores,60,4,CD
novo,Obrigatória,4,AlgLin,Álgebra Linear,60,4,Calc1
novo,Obrigatória,4,ES,Engenharia de Software,60,4,TCP
novo,Obrigatória,4,IHC,Interação Humano-Computador e UX,60,4,TCP
novo,Obrigatória,5,SisOp,Sistemas Operacionais,60,4,Arq; ED
novo,Obrigatória,5,IA,Inteligência Artificial,60,4,PAA1; ProbEst
novo,Obrigatória,5,CC,Computação Científica,60,4,Calc2; AlgLin; ED
novo,Obrigatória,5,ProjCI,Projeto em Ciência e Inovação,120,8,IntroCIC; TCP; PAA1; ProbEst
novo,Obrigatória,5,CGVis,Computação Gráfica e Visualização,60,4,Calc2; AlgLin; ED
novo,Obrigatória,6,Redes,Redes de Computadores,60,4,Arq
novo,Obrigatória,6,ML,Aprendizado de Máquina,60,4,ProbEst; PAA1
novo,Obrigatória,6,PIVC,Processamento de Imagens e Visão Computacional,60,4,Calc2; ED
novo,Obrigatória,6,ProgPar,Programação Paralela,60,4,SisOp
novo,Eletiva,,ProgParEletiva,Programação Paralela (eletiva espelho),60,4
novo,Obrigatória,6,LP1,Linguagens de Programação I,60,4,TeoComp1; ED
novo,Obrigatória,7,Seg,Segurança de Sistemas e da Informação,60,4,MatDisc; ProbEst
novo,Obrigatória,7,SDTF,Sistemas Distribuídos e Tolerantes a Falhas,60,4,SisOp
novo,Obrigatória,7,PAA3,Projeto e Análise de Algoritmos III,60,4,PAA1; TeoComp2; AlgLin
novo,Obrigatória,7,PLN,Processamento de Linguagem Natural,60,4,ML; TeoComp1; PIVC
novo,Obrigatória,7,LP2,Linguagens de Programação II,60,4,LP1; Arq
novo,Obrigatória,8,ProjInt,Projeto Integrador,120,8,ProjCI; #cred(60)
velho,Obrigatória,1,INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,90,6,NA
velho,Obrigatória,1,MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,90,6,NA
velho,Obrigatória,1,INF05008,FUNDAMENTOS DE ALGORITMOS,60,4,NA
velho,Obrigatória,1,INF01107,INTRODUÇÃO À ARQUITETURA DE COMPUTADORES,60,4,NA
velho,Obrigatória,1,MAT01375,MATEMÁTICA DISCRETA B,60,4,NA
velho,Obrigatória,2,MAT01355,ÁLGEBRA LINEAR I - A,60,4,MAT01353
velho,Obrigatória,2,INF01108,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I,60,4,INF01107
velho,Obrigatória,2,MAT01354,CÁLCULO E GEOMETRIA ANALÍTICA II - A,90,6,MAT01353
