codigo,obtem,nome
INF01032,EmpreendimentoEletiva,EMPREENDIMENTO EM INFORMÁTICA
INF01124,CPDEletiva,CLASSIFICAÇÃO E PESQUISA DE DADOS
INF01112,ARQ2Eletiva,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES II
ECO02254,EcnA,ECONOMIA A
INF01001,EsFN,ESPECIFICAÇÃO FORMAL N
INF01002,PrdC,PROTOCOLOS DE COMUNICAÇÃO
INF01005,CmdD,COMUNICAÇÃO DE DADOS
INF01006,PdBdD,PROJETO DE BANCO DE DADOS
INF01008,ProgPar,PROGRAMAÇÃO DISTRIBUÍDA E PARALELA
INF01009,CmpG,COMPUTAÇÃO GRÁFICA
INF01014,SdBdDD,SISTEMAS DE BANCO DE DADOS DISTRIBUÍDOS
INF01015,GeAeR,GERÊNCIA E APLICAÇÕES EM REDES
INF01016,GeAdP,GERÊNCIA E ADMINISTRAÇÃO DE PROJETOS
INF01017,ML,APRENDIZADO DE MÁQUINA
INF01018,SODedR,SISTEMAS OPERACIONAIS DISTRIBUÍDOS E DE REDES
INF01019,PeCG,PROJETO EM COMPUTAÇÃO GRÁFICA
INF01021,PrdH,PROJETO DE HIPERDOCUMENTOS
INF01022,LdSdS,LABORATÓRIO DE SISTEMA DE SOFTWARE
INF01032; INF01022,ProjInt,
INF01032; INF01019,ProjInt,
INF01032; INF01006,ProjInt,
INF01032; INF01215,ProjInt,
INF01023,AeDdBdD,ARQUITETURA E DESEMPENHO DE BANCO DE DADOS
INF01030,FdVC,FUNDAMENTOS DE VISÃO COMPUTACIONAL
INF01034,RbtI,ROBÓTICA II
INF01037,CmpE,COMPUTAÇÃO EVOLUTIVA
INF01038,SsEN,SISTEMAS ESPECIALISTAS N
INF01039,HsdC,HISTÓRIA DA COMPUTAÇÃO
INF01043,IHC,INTERAÇÃO HOMEM-COMPUTADOR
INF01045,Seg,SEGURANÇA EM SISTEMAS DE COMPUTAÇÃO
INF01046,PIVC,FUNDAMENTOS DE PROCESSAMENTO DE IMAGENS
INF01047,CGVis,FUNDAMENTOS DE COMPUTAÇÃO GRÁFICA
INF01048,IA,INTELIGÊNCIA ARTIFICIAL
INF01049,IAPeI,INTRODUÇÃO À PESQUISA EM INFORMÁTICA
INF01050,PLN,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO I
INF01053,ToECPIV,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO IV
INF01054,ToCICVII,TÓPICOS ESPECIAIS EM COMPUTAÇÃO VII
INF01055,ToCICVIII,TÓPICOS ESPECIAIS EM COMPUTAÇÃO VIII
INF01056,DsdP,DESAFIOS DE PROGRAMAÇÃO
INF01058,CD,CIRCUITOS DIGITAIS
INF01059,SstE,SISTEMAS EMBARCADOS
INF01060,ToCICXVIII,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XVIII
INF01061,ToCICXVII,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XVII
INF01062,ToCICXVI,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XVI
INF01063,ToCICXII,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XII
INF01064,ToCICXI,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XI
INF01065,ToCICX,TÓPICOS ESPECIAIS EM COMPUTAÇÃO X
INF01066,ToCICXXII,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXII
INF01067,ToCICXXIII,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXIII
INF01068,ToCICXXIV,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXIV
INF01069,ToCICXXIX,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXIX
INF01070,ToCICXXX,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXX
INF01071,ToCICXXXI,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXXI
INF01072,ToCICXXXII,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXXII
INF01107,IntroCIC,INTRODUÇÃO À ARQUITETURA DE COMPUTADORES
INF01108,Arq,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I
INF01113,OrgComp,ORGANIZAÇÃO DE COMPUTADORES B
INF01120,TCP,TÉCNICAS DE CONSTRUÇÃO DE PROGRAMAS
INF01121,MdLdP,MODELOS DE LINGUAGEM DE PROGRAMAÇÃO
INF01127,ES,ENGENHARIA DE SOFTWARE N
INF01140,CmeS,COMPUTADOR E SOCIEDADE
INF01142,SisOp,SISTEMAS OPERACIONAIS I N
INF01145,BD,FUNDAMENTOS DE BANCO DE DADOS
INF01146,AvdD,AVALIAÇÃO DE DESEMPENHO
INF01147,LP2,COMPILADORES
INF01151,SDTF,SISTEMAS OPERACIONAIS II N
INF01154,Redes,REDES DE COMPUTADORES N
INF01175,SDpCA,SISTEMAS DIGITAIS PARA COMPUTADORES A
INF01179,ToCICI,TÓPICOS ESPECIAIS EM COMPUTAÇÃO I
INF01182,ToCICII,TÓPICOS ESPECIAIS EM COMPUTAÇÃO II
INF01185,CdCII,CONCEPÇÃO DE CIRCUITOS INTEGRADOS I
INF01188,ToCICIII,TÓPICOS ESPECIAIS EM COMPUTAÇÃO III
INF01191,AAdC,ARQUITETURAS AVANÇADAS DE COMPUTADORES
INF01198,ToCICIV,TÓPICOS ESPECIAIS EM COMPUTAÇÃO IV
INF01202,ALP,ALGORÍTMOS E PROGRAMAÇÃO - CIC
INF01203,ED,ESTRUTURAS DE DADOS
INF01205,CpSD,CAD PARA SISTEMAS DIGITAIS
INF01209,FdTAF,FUNDAMENTOS DE TOLERÂNCIA A FALHAS
INF01213,FtgC,FOTOGRAFIA COMPUTACIONAL
INF01214,TsdS,TESTE DE SOFTWARE
INF01215,MtdA,MÉTODOS ÁGEIS
INF01215(*),ProjInt,
INF01216,MeGdPdN,MODELAGEM E GERENCIAMENTO DE PROCESSOS DE NEGÓCIO
INF01217,TeEdS,TENDÊNCIAS EM ENGENHARIA DE SOFTWARE
INF01218,ToCICXXXIII,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXXIII
INF01219,PLN,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXXIV
INF01220,ToCICXXXV,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXXV
INF01221,PLN,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXXVI
INF05001,LdPeL,LABORATÓRIO DE PROGRAMAÇÃO EM LÓGICA
