tipo_regra,nome_fez,carater_fez,creditos_fez,nome_obtem,carater_obtem,creditos_obtem
mudança de caráter,Empreendimento Em Informática,Obrigatória,4,Empreendimento Em Informática,Eletiva,4
mudança de caráter,Classificação E Pesquisa De Dados,Obrigatória,4,Classificação E Pesquisa De Dados,Eletiva,4
mudança de caráter,Arquitetura E Organização De Computadores II,Obrigatória,4,Arquitetura E Organização De Computadores II,Eletiva,4
mapeamento direto,Economia A,Eletiva,4,Economia A,Eletiva,4
mapeamento direto,Especificação Formal N,Eletiva,4,Especificacao Formal N,Eletiva,4
mapeamento direto,Protocolos De Comunicação,Eletiva,4,Protocolos De Comunicacao,Eletiva,4
mapeamento direto,Comunicação De Dados,Eletiva,4,Comunicacao De Dados,Eletiva,4
mapeamento direto,Projeto De Banco De Dados,Eletiva,4,Projeto De Banco De Dados,Eletiva,4
mapeamento não direto,Programação Distribuída E Paralela,Eletiva,4,Programação Paralela,Obrigatória,4
mapeamento direto,Computação Gráfica,Eletiva,4,Computacao Grafica,Eletiva,4
mapeamento direto,Sistemas De Banco De Dados Distribuídos,Eletiva,4,Sistemas De Banco De Dados Distribuidos,Eletiva,4
mapeamento direto,Gerência E Aplicações Em Redes,Eletiva,4,Gerencia E Aplicacoes Em Redes,Eletiva,4
mapeamento direto,Gerência E Administração De Projetos,Eletiva,4,Gerencia E Administracao De Projetos,Eletiva,4
mudança de caráter,Aprendizado De Máquina,Eletiva,4,Aprendizado De Máquina,Obrigatória,4
mapeamento direto,Sistemas Operacionais Distribuídos E De Redes,Eletiva,4,Sistemas Operacionais Distribuidos E De Redes,Eletiva,4
mapeamento direto,Projeto Em Computação Gráfica,Eletiva,4,Projeto Em Computacao Grafica,Eletiva,4
mapeamento direto,Projeto De Hiperdocumentos,Eletiva,4,Projeto De Hiperdocumentos,Eletiva,4
mapeamento direto,Laboratório De Sistema De Software,Eletiva,4,Laboratorio De Sistema De Software,Eletiva,4
mapeamento direto,Arquitetura E Desempenho De Banco De Dados,Eletiva,4,Arquitetura E Desempenho De Banco De Dados,Eletiva,4
mapeamento direto,Fundamentos De Visão Computacional,Eletiva,4,Fundamentos De Visao Computacional,Eletiva,4
mapeamento direto,Robótica II,Eletiva,4,Robotica II,Eletiva,4
