codigo_fez,carater_fez,creditos_fez,codigo_obtem,carater_obtem,creditos_obtem,nome_regra,nome_fez,nome_obtem,tipo_regra
INF01032 ou QUI99009,Obrigatória,4,EmpreendimentoEletiva,Eletiva,4,INF01032=EmpreendimentoEletiva,Empreendimento em Informática ou Introdução ao Empreendedorismo e Inovação,Empreendimento em Informática,mudança de caráter
INF01124,Obrigatória,4,CPDEletiva,Eletiva,4,INF01124=CPDEletiva,Classificação e Pesquisa de Dados,Classificação e Pesquisa de Dados,mudança de caráter
INF01112,Obrigatória,4,ARQ2Eletiva,Eletiva,4,INF01112=ARQ2Eletiva,Arquitetura e Organização de Computadores II,Arquitetura e Organização de Computadores II,mudança de caráter
ECO02254,Eletiva,4,EcnA,Eletiva,4,ECO02254=EcnA,Economia A,Economia A,mapeamento direto
INF01001,Eletiva,4,EsFN,Eletiva,4,INF01001=EsFN,Especificação Formal N,Especificacao Formal N,mapeamento direto
INF01002,Eletiva,4,PrdC,Eletiva,4,INF01002=PrdC,Protocolos de Comunicação,Protocolos de Comunicacao,mapeamento direto
INF01005,Eletiva,4,CmdD,Eletiva,4,INF01005=CmdD,Comunicação de Dados,Comunicacao de Dados,mapeamento direto
INF01006,Eletiva,4,PdBdD,Eletiva,4,INF01006=PdBdD,Projeto de Banco de Dados,Projeto de Banco de Dados,mapeamento direto
INF01008,Eletiva,4,ProgPar,Obrigatória,4,INF01008=ProgPar,Programação Distribuída e Paralela,Programação Paralela,mapeamento não direto
INF01009,Eletiva,4,CmpG,Eletiva,4,INF01009=CmpG,Computação Gráfica,Computacao Grafica,mapeamento direto
INF01014,Eletiva,4,SdBdDD,Eletiva,4,INF01014=SdBdDD,Sistemas de Banco de Dados Distribuídos,Sistemas de Banco de Dados Distribuidos,mapeamento direto
INF01015,Eletiva,4,GeAeR,Eletiva,4,INF01015=GeAeR,Gerência e Aplicações em Redes,Gerencia e Aplicacoes em Redes,mapeamento direto
INF01016,Eletiva,4,GeAdP,Eletiva,4,INF01016=GeAdP,Gerência e Administração de Projetos,Gerencia e Administracao de Projetos,mapeamento direto
INF01017,Eletiva,4,ML,Obrigatória,4,INF01017=ML,Aprendizado de Máquina,Aprendizado de Máquina,mudança de caráter
INF01018,Eletiva,4,SODedR,Eletiva,4,INF01018=SODedR,Sistemas Operacionais Distribuídos e de Redes,Sistemas Operacionais Distribuidos e de Redes,mapeamento direto
INF01019,Eletiva,4,PeCG,Eletiva,4,INF01019=PeCG,Projeto em Computação Gráfica,Projeto em Computacao Grafica,mapeamento direto
INF01021,Eletiva,4,PrdH,Eletiva,4,INF01021=PrdH,Projeto de Hiperdocumentos,Projeto de Hiperdocumentos,mapeamento direto
INF01022,Eletiva,4,LdSdS,Eletiva,4,INF01022=LdSdS,Laboratório de Sistema de Software,Laboratorio de Sistema de Software,mapeamento direto
INF01023,Eletiva,4,AeDdBdD,Eletiva,4,INF01023=AeDdBdD,Arquitetura e Desempenho de Banco de Dados,Arquitetura e Desempenho de Banco de Dados,mapeamento direto
INF01030,Eletiva,4,FdVC,Eletiva,4,INF01030=FdVC,Fundamentos de Visão Computacional,Fundamentos de Visao Computacional,mapeamento direto
