fez,obtem
INF01202,INF01202
MAT01353,MAT01353
FIS01181,FIS01181
ECP99002,ECP99002
INF05508,INF05508
MAT01355,MAT01355
INF01108,Arq
MAT01354,MAT01354
INF01203,INF01203
FIS01182,FIS01182
MAT01375,MAT01375
INF01120,INF01120
MAT01167,MAT01167
FIS01183,FIS01183
INF01058,CDNovo
INF05512,PAA1
ENG10001,ENG10001
MAT01168,MAT01168
MAT02219,MAT02219
MAT02050,MAT02050
INF01113,INF01113
INF05501,TeoCompECP
INF01146,INF01146
ENG10002,ENG10002
INF01127,INF01127
INF01049,INF01049
INF01175,INF01175
INF01142,INF01142
ENG04010,ENG04010
INF01185,INF01185
ENG10044,ENG10044
INF01048,INF01048
ENG10003,ENG10003
INF01154,Redes
INF01154,LabInternet
ENG10017,ENG10017
INF01151,SDTF
INF01191,INF01191
MAT01169,MAT01169
ENG04078,ENG04078
INF01147,LP2
INF01194,INF01194
INF01001,INF01001
INF01047,INF01047
ENG10032,ENG10032
ENG10004,ENG10004
INF01008,INF01008
INF01017,INF01017
ENG04061,ENG04061
ENG04055,ENG04055
ECO02254,ECO02254
INF01046,INF01046
ENG10005,ENG10005
INF01002,INF01002
ENG10026,ENG10026
INF01050,INF01050
ENG04041,ENG04041
INF05024,INF05024
ADM01134,ADM01134
INF01205,INF01205
INF01005,INF01005
ENG10051,ENG10051
ENG04457,ENG04457
ENG10052,ENG10052
ENG04476,ENG04476
ECP99001,ECP99001
INF01034,INF01034
INF01045,INF01045
ENG10019,ENG10019
ENG10018,ENG10018
HUM04020,HUM04020
ENG04034,ENG04034
INF01053,INF01053
INF05025,INF05025
ENG04063,ENG04063
INF01032,INF01032
INF01213,INF01213
INF01145,INF01145
EDU03071,EDU03071
ENG04434,ENG04434
ENG04477,ENG04477
INF01059,INF01059
ENG04057,ENG04057
INF05026,INF05026
INF01030,INF01030
INF01216,INF01216
ENG10055,ENG10055
INF05009,INF05009
INF01054,INF01054
INF01055,INF01055
INF01063,INF01063
INF05013,INF05013
ENG10057,ENG10057
ENG10056,ENG10056
ENG10058,ENG10058
ENG04038,ENG04038
ENG04065,ENG04065
ENG04064,ENG04064
ENG10054,ENG10054
ENG04077,ENG04077
