codigo_fez,carater_fez,creditos_fez,codigo_obtem,carater_obtem,creditos_obtem,nome_regra,nome_fez,nome_obtem,tipo_regra
INF01202,Obrigatória,6.0,inf01202,Obrigatória,6.0,INF01202=inf01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,ALGORÍTMOS E PROGRAMAÇÃO - CIC,mapeamento direto
MAT01353,Obrigatória,6.0,mat01353,Obrigatória,6.0,MAT01353=mat01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,CÁLCULO E GEOMETRIA ANALÍTICA I - A,mapeamento direto
FIS01181,Obrigatória,6.0,fis01181,Obrigatória,6.0,FIS01181=fis01181,FÍSICA I-C,FÍSICA I-C,mapeamento direto
ECP99002,Obrigatória,2.0,ecp99002,Obrigatória,2.0,ECP99002=ecp99002,INTRODUÇÃO À ENGENHARIA DE COMPUTAÇÃO,INTRODUÇÃO À ENGENHARIA DE COMPUTAÇÃO,mapeamento direto
INF05508,Obrigatória,4.0,inf05508,Obrigatória,4.0,INF05508=inf05508,LÓGICA PARA COMPUTAÇÃO,LÓGICA PARA COMPUTAÇÃO,mapeamento direto
MAT01355,Obrigatória,4.0,mat01355,Obrigatória,4.0,MAT01355=mat01355,ÁLGEBRA LINEAR I - A,ÁLGEBRA LINEAR I - A,mapeamento direto
INF01108,Obrigatória,4.0,arq,Obrigatória,4.0,INF01108=arq,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I,ARQUITETURA DE COMPUTADORES,mapeamento não direto
MAT01354,Obrigatória,6.0,mat01354,Obrigatória,6.0,MAT01354=mat01354,CÁLCULO E GEOMETRIA ANALÍTICA II - A,CÁLCULO E GEOMETRIA ANALÍTICA II - A,mapeamento direto
INF01203,Obrigatória,4.0,inf01203,Obrigatória,4.0,INF01203=inf01203,ESTRUTURAS DE DADOS,ESTRUTURAS DE DADOS,mapeamento direto
FIS01182,Obrigatória,6.0,fis01182,Obrigatória,6.0,FIS01182=fis01182,FÍSICA GERAL - ELETROMAGNETISMO,FÍSICA GERAL - ELETROMAGNETISMO,mapeamento direto
MAT01375,Obrigatória,4.0,mat01375,Obrigatória,4.0,MAT01375=mat01375,MATEMÁTICA DISCRETA B,MATEMÁTICA DISCRETA B,mapeamento direto
INF01120,Obrigatória,4.0,inf01120,Obrigatória,4.0,INF01120=inf01120,TÉCNICAS DE CONSTRUÇÃO DE PROGRAMAS,DESENVOLVIMENTO DE SOFTWARE,mapeamento não direto
MAT01167,Obrigatória,6.0,mat01167,Obrigatória,6.0,MAT01167=mat01167,EQUAÇÕES DIFERENCIAIS II,EQUAÇÕES DIFERENCIAIS II,mapeamento direto
FIS01183,Obrigatória,6.0,fis01183,Obrigatória,6.0,FIS01183=fis01183,FÍSICA III-C,FÍSICA III-C,mapeamento direto
INF01058,Obrigatória,4.0,cdnovo,Obrigatória,6.0,INF01058=cdnovo,CIRCUITOS DIGITAIS,PROJETO DE CIRCUITOS DIGITAIS,mudança no número de créditos
INF05512,Eletiva,4.0,paa1,Obrigatória,4.0,INF05512=paa1,TEORIA DOS GRAFOS E ANÁLISE COMBINATÓRIA,PROJETO E ANÁLISE DE ALGORITMOS I,mudança de caráter
