cartao,ingresso,codigo,titulo,situacao
******,2023/1,INF01107,INTRODUÇÃO À ARQUITETURA DE COMPUTADORES,Aprovado
******,2023/1,INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,Aprovado
******,2023/1,INF05008,FUNDAMENTOS DE ALGORITMOS,Aprovado
******,2023/1,MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,Aprovado
******,2023/1,MAT01375,MATEMÁTICA DISCRETA B,Aprovado
******,2023/2,INF01108,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I,Aprovado
******,2023/2,INF01203,ESTRUTURAS DE DADOS,Aprovado
******,2023/2,INF05508,LÓGICA PARA COMPUTAÇÃO,Aprovado
******,2023/2,INF05512,TEORIA DOS GRAFOS E ANÁLISE COMBINATÓRIA,Aprovado
******,2023/2,MAT1355,�LGEBRA LINEAR,Aprovado
******,2023/2,MAT01354,CÁLCULO E GEOMETRIA ANALÍTICA II - A,Aprovado
******,2024/1,MAT02219,PROBABILIDADE E ESTAT�STICA - B,Aprovado
******,2024/1,INF01058,CIRCUITOS DIGITAIS,Aprovado
******,2024/1,INF01112,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES II,Aprovado
******,2024/1,INF01124,CLASSIFICAÇÃO E PESQUISA DE DADOS,Aprovado
******,2024/1,INF05501,TEORIA DA COMPUTAÇÃO N,Aprovado
******,2024/2,INF05501,SISTEMAS DIGITAIS PARA COMPUTADORES A,Aprovado
******,2024/2,INF01120,TÉCNICAS DE CONSTRUÇÃO DE PROGRAMAS,Aprovado
******,2024/2,MAT01032,CÁLCULO NUMÉRICO A,Aprovado
******,2024/2,INF05515,COMPLEXIDADE DE ALGORITMOS - B,Aprovado
******,2024/2,INF05005,LINGUAGENS FORMAIS E AUTÔMATOS N,Aprovado
