cartao,codigo,rule_name
******,ALP,INF01202=ALP
******,ARQ2Eletiva,INF01112=ARQ2Eletiva
******,Arq,INF01108=Arq
******,BD,INF01145=BD
******,CC,MAT01032=CC
******,CD,INF01058=CD
******,CGVis,INF01047=CGVis
******,CPDEletiva,INF01124=CPDEletiva
******,Calc1,MAT01353=Calc1
******,Calc2,MAT01354=Calc2
******,ED,INF01203=ED
******,ES,INF01127=ES
******,EmpreendimentoEletiva,INF01032=EmpreendimentoEletiva
******,FdTAF,INF01209=FdTAF
******,IA,INF01048=IA
******,IHC,INF01043=IHC
******,IntroCIC,INF01107=IntroCIC
******,LP1,INF05516=LP1
******,LP2,INF01147=LP2
******,Logica,INF05508=Logica
******,MatDisc,MAT01375=MatDisc
******,MdLdP,INF01121=MdLdP
******,OrgComp,INF01113=OrgComp
******,PAA1,INF05512=PAA1
******,PAA2,INF05515=PAA2
******,PAA3,INF05010=PAA3
******,PC,INF05008=PC
******,PIVC,INF01046=PIVC
******,Redes,INF01154=Redes
******,SisOp,INF01142=SisOp
******,TCP,INF01120=TCP
******,TeoComp1,INF05005=TeoComp1
******,TeoComp2,INF05501=TeoComp2
******,ToCICXXVI,INF05021=ToCICXXVI
******,VerifTeste,INF05508=VerifTeste
