cartao,codigo,rule_name
******,ALP,INF01202=ALP
******,ARQ2Eletiva,INF01112=ARQ2Eletiva
******,Arq,INF01108=Arq
******,CC,MAT01032=CC
******,CD,INF01058=CD
******,CPDEletiva,INF01124=CPDEletiva
******,Calc1,MAT01353=Calc1
******,Calc2,MAT01354=Calc2
******,ED,INF01203=ED
******,IntroCIC,INF01107=IntroCIC
******,Logica,INF05508=Logica
******,MatDisc,MAT01375=MatDisc
******,PAA1,INF05512=PAA1
******,PAA2,INF05515=PAA2
******,PC,INF05008=PC
******,ProbEst,MAT02219=ProbEst
******,TCP,INF01120=TCP
******,TeoComp1,INF05005=TeoComp1
******,VerifTeste,INF05508=VerifTeste
