cartao,ingresso,codigo,titulo,situacao
577262,2023/01,INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,Aprovado
577262,2023/01,MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,Aprovado
577262,2023/01,INF05008,FUNDAMENTOS DE ALGORITMOS,Aprovado
577262,2023/01,INF01107,INTRODUÇÃO À ARQUITETURA DE COMPUTADORES,Aprovado
577262,2023/01,MAT01375,MATEMÁTICA DISCRETA B,Aprovado
577262,2023/01,MAT01355,ÁLGEBRA LINEAR I - A,Aprovado
577262,2023/01,INF01108,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I,Aprovado
577262,2023/01,MAT01354,CÁLCULO E GEOMETRIA ANALÍTICA II - A,Aprovado
577262,2023/01,INF01203,ESTRUTURAS DE DADOS,Aprovado
577262,2023/01,INF05508,LÓGICA PARA COMPUTAÇÃO,Aprovado
577262,2023/01,INF05512,TEORIA DOS GRAFOS E ANÁLISE COMBINATÓRIA,Aprovado
577262,2023/01,INF01112,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES II,Aprovado
577262,2023/01,MAT01032,CÁLCULO NUMÉRICO A,Aprovado
577262,2023/01,INF01058,CIRCUITOS DIGITAIS,Aprovado
577262,2023/01,INF01124,CLASSIFICAÇÃO E PESQUISA DE DADOS,Aprovado
577262,2023/01,INF05005,LINGUAGENS FORMAIS E AUTÔMATOS N,Aprovado
577262,2023/01,MAT02219,PROBABILIDADE E ESTATÍSTICA,Aprovado
577262,2023/01,INF05501,TEORIA DA COMPUTAÇÃO N,Aprovado
577262,2023/01,INF05515,COMPLEXIDADE DE ALGORITMOS - B,Aprovado
577262,2023/01,INF01145,FUNDAMENTOS DE BANCO DE DADOS,Aprovado
577262,2023/01,INF01046,FUNDAMENTOS DE PROCESSAMENTO DE IMAGENS,Aprovado
577262,2023/01,INF01113,ORGANIZAÇÃO DE COMPUTADORES B,Aprovado
577262,2023/01,INF01120,TÉCNICAS DE CONSTRUÇÃO DE PROGRAMAS,Aprovado
577262,2023/01,INF01127,ENGENHARIA DE SOFTWARE N,Aprovado
577262,2023/01,INF01047,FUNDAMENTOS DE COMPUTAÇÃO GRÁFICA,Aprovado
577262,2023/01,INF01048,INTELIGÊNCIA ARTIFICIAL,Aprovado
577262,2023/01,INF01121,MODELOS DE LINGUAGEM DE PROGRAMAÇÃO,Aprovado
577262,2023/01,INF05010,OTIMIZAÇÃO COMBINATÓRIA,Aprovado
577262,2023/01,INF05516,SEMÂNTICA FORMAL N,Aprovado
577262,2023/01,INF01142,SISTEMAS OPERACIONAIS I N,Aprovado
577262,2023/01,INF01147,COMPILADORES,Aprovado
577262,2023/01,INF01032,EMPREENDIMENTO EM INFORMÁTICA,Aprovado
577262,2023/01,INF01209,FUNDAMENTOS DE TOLERÂNCIA A FALHAS,Aprovado
577262,2023/01,INF01043,INTERAÇÃO HOMEM-COMPUTADOR,Aprovado
577262,2023/01,INF01154,REDES DE COMPUTADORES N,Aprovado
