cartao,codigo,rule_name
577262,AAdC,INF01191=AAdC
577262,AAeSM,INF05019=AAeSM
577262,ALP,INF01202=ALP
577262,ARQ2Eletiva,INF01112=ARQ2Eletiva
577262,AeDdBdD,INF01023=AeDdBdD
577262,AlgLin,MAT01355=AlgLin
577262,Arq,INF01108=Arq
577262,AvdD,INF01146=AvdD
577262,BD,INF01145=BD
577262,BlgC,INF05018=BlgC
577262,CC,MAT01032=CC
577262,CD,INF01058=CD
577262,CGVis,INF01047=CGVis
577262,CPDEletiva,INF01124=CPDEletiva
577262,Calc1,MAT01353=Calc1
577262,Calc2,MAT01354=Calc2
577262,CdCII,INF01185=CdCII
577262,CmdD,INF01005=CmdD
577262,CmeS,INF01140=CmeS
577262,CmpE,INF01037=CmpE
577262,CmpG,INF01009=CmpG
577262,CpSD,INF01205=CpSD
577262,CtCN,INF05006=CtCN
577262,DsdP,INF01056=DsdP
577262,ED,INF01203=ED
577262,ES,INF01127=ES
577262,EcnA,ECO02254=EcnA
577262,EmpreendimentoEletiva,INF01032=EmpreendimentoEletiva
577262,EsFN,INF01001=EsFN
577262,FdTAF,INF01209=FdTAF
577262,FdVC,INF01030=FdVC
577262,FtgC,INF01213=FtgC
577262,GeAdP,INF01016=GeAdP
577262,GeAeR,INF01015=GeAeR
577262,HsdC,INF01039=HsdC
577262,IA,INF01048=IA
577262,IAPeI,INF01049=IAPeI
577262,IHC,INF01043=IHC
577262,IIpPdDI,LET02720=IIpPdDI
577262,InAA,INF05004=InAA
577262,IntroCIC,INF01107=IntroCIC
577262,LP1,INF05516=LP1
577262,LP2,INF01147=LP2
577262,LdPeL,INF05001=LdPeL
577262,LdSdS,INF01022=LdSdS
577262,Logica,INF05508=Logica
577262,ML,INF01017=ML
577262,ML,INF05004=ML
577262,ML,Temp-5=ML
577262,MatDisc,MAT01375=MatDisc
577262,MdLdP,INF01121=MdLdP
577262,MeGdPdN,INF01216=MeGdPdN
577262,MtdA,INF01215=MtdA
577262,OrgComp,INF01113=OrgComp
577262,PAA1,INF05512=PAA1
577262,PAA2,INF05515=PAA2
577262,PAA3,INF05010=PAA3
577262,PC,INF05008=PC
577262,PIVC,INF01046=PIVC
577262,PLN,INF01050=PLN
577262,PLN,INF01219=PLN
577262,PLN,INF01221=PLN
577262,PLN,Temp-6=PLN
577262,PdBdD,INF01006=PdBdD
577262,PeCG,INF01019=PeCG
577262,PrdC,INF01002=PrdC
577262,PrdH,INF01021=PrdH
577262,ProbEst,MAT02219=ProbEst
577262,ProgPar,INF01008=ProgPar
577262,ProgPar,Temp-5=ProgPar
577262,ProjCI,INF05024=ProjCI
577262,ProjCI,Temp-4=ProjCI
577262,ProjInt,INF01032+INF01022=ProjInt
577262,ProjInt,INF01032+INF01019=ProjInt
577262,ProjInt,INF01032+INF01006=ProjInt
577262,ProjInt,INF01032+INF01215=ProjInt
577262,ProjInt,Temp-7=ProjInt
577262,RbtI,INF01034=RbtI
577262,Redes,INF01154=Redes
577262,SDTF,INF01151=SDTF
577262,SDpCA,INF01175=SDpCA
577262,SODedR,INF01018=SODedR
577262,SdBdDD,INF01014=SdBdDD
577262,Seg,INF01045=Seg
577262,Seg,Temp-6=Seg
577262,SisOp,INF01142=SisOp
577262,SsEN,INF01038=SsEN
577262,SstE,INF01059=SstE
577262,TCP,INF01120=TCP
577262,TdCD,INF05003=TdCD
577262,TeEdS,INF01217=TeEdS
577262,TeoComp1,INF05005=TeoComp1
577262,TeoComp2,INF05501=TeoComp2
577262,ToCICI,INF01179=ToCICI
577262,ToCICII,INF01182=ToCICII
577262,ToCICIII,INF01188=ToCICIII
577262,ToCICIV,INF01198=ToCICIV
577262,ToCICIX,INF05009=ToCICIX
577262,ToCICV,INF05504=ToCICV
577262,ToCICVI,INF05505=ToCICVI
577262,ToCICVII,INF01054=ToCICVII
577262,ToCICVIII,INF01055=ToCICVIII
577262,ToCICX,INF01065=ToCICX
577262,ToCICXI,INF01064=ToCICXI
577262,ToCICXII,INF01063=ToCICXII
577262,ToCICXIII,INF05011=ToCICXIII
577262,ToCICXIV,INF05012=ToCICXIV
577262,ToCICXIX,INF05014=ToCICXIX
577262,ToCICXV,INF05013=ToCICXV
577262,ToCICXVI,INF01062=ToCICXVI
577262,ToCICXVII,INF01061=ToCICXVII
577262,ToCICXVIII,INF01060=ToCICXVIII
577262,ToCICXX,INF05015=ToCICXX
577262,ToCICXXI,INF05016=ToCICXXI
577262,ToCICXXII,INF01066=ToCICXXII
577262,ToCICXXIII,INF01067=ToCICXXIII
577262,ToCICXXIV,INF01068=ToCICXXIV
577262,ToCICXXIX,INF01069=ToCICXXIX
577262,ToCICXXV,INF05020=ToCICXXV
577262,ToCICXXVI,INF05021=ToCICXXVI
577262,ToCICXXVII,INF05022=ToCICXXVII
577262,ToCICXXVIII,INF05023=ToCICXXVIII
577262,ToCICXXX,INF01070=ToCICXXX
577262,ToCICXXXI,INF01071=ToCICXXXI
577262,ToCICXXXII,INF01072=ToCICXXXII
577262,ToCICXXXIII,INF01218=ToCICXXXIII
577262,ToCICXXXV,INF01220=ToCICXXXV
577262,ToECPIV,INF01053=ToECPIV
577262,ToECPV,INF05024=ToECPV
577262,ToECPVI,INF05025=ToECPVI
577262,TsdS,INF01214=TsdS
577262,VAEREDois,VAERE202=VAEREDois
577262,VAEREUm,VAERE201=VAEREUm
577262,VerifTeste,INF05508=VerifTeste
