etapa,codigo,nome,qt_students_needing_it
1,INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,0
1,MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,0
1,INF05008,FUNDAMENTOS DE ALGORITMOS,0
1,INF01107,INTRODUÇÃO À ARQUITETURA DE COMPUTADORES,0
1,MAT01375,MATEMÁTICA DISCRETA B,0
2,MAT01355,ÁLGEBRA LINEAR I - A,0
2,INF01108,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I,0
2,MAT01354,CÁLCULO E GEOMETRIA ANALÍTICA II - A,0
2,INF01203,ESTRUTURAS DE DADOS,0
2,INF05508,LÓGICA PARA COMPUTAÇÃO,0
2,INF05512,TEORIA DOS GRAFOS E ANÁLISE COMBINATÓRIA,0
3,INF01112,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES II,0
3,MAT01032,CÁLCULO NUMÉRICO A,0
3,INF01058,CIRCUITOS DIGITAIS,0
3,INF01124,CLASSIFICAÇÃO E PESQUISA DE DADOS,0
3,INF05005,LINGUAGENS FORMAIS E AUTÔMATOS N,0
3,MAT02219,PROBABILIDADE E ESTATÍSTICA,0
3,INF05501,TEORIA DA COMPUTAÇÃO N,0
4,INF05515,COMPLEXIDADE DE ALGORITMOS - B,0
4,INF01145,FUNDAMENTOS DE BANCO DE DADOS,0
4,INF01046,FUNDAMENTOS DE PROCESSAMENTO DE IMAGENS,0
4,INF01113,ORGANIZAÇÃO DE COMPUTADORES B,0
4,INF01120,TÉCNICAS DE CONSTRUÇÃO DE PROGRAMAS,0
5,INF01127,ENGENHARIA DE SOFTWARE N,0
5,INF01047,FUNDAMENTOS DE COMPUTAÇÃO GRÁFICA,0
5,INF01048,INTELIGÊNCIA ARTIFICIAL,0
5,INF01121,MODELOS DE LINGUAGEM DE PROGRAMAÇÃO,0
5,INF05010,OTIMIZAÇÃO COMBINATÓRIA,0
5,INF05516,SEMÂNTICA FORMAL N,0
5,INF01142,SISTEMAS OPERACIONAIS I N,0
6,INF01147,COMPILADORES,0
6,INF01032,EMPREENDIMENTO EM INFORMÁTICA,0
6,INF01209,FUNDAMENTOS DE TOLERÂNCIA A FALHAS,0
6,INF01043,INTERAÇÃO HOMEM-COMPUTADOR,0
6,INF01154,REDES DE COMPUTADORES N,0
6,INF01151,SISTEMAS OPERACIONAIS II N,0
